index,doc_id
0,427
1,341
2,355
3,433
4,1067
5,1073
6,369
7,1098
8,382
9,396
10,143
11,1259
12,625
13,631
14,157
15,1265
16,1503
17,619
18,1517
19,1271
20,180
21,194
22,802
23,816
24,989
25,751
26,745
27,1339
28,1311
29,1477
30,779
31,1463
32,1305
33,792
34,1488
35,786
36,976
37,962
38,553
39,235
40,221
41,547
42,209
43,1113
44,1107
45,590
46,59
47,584
48,71
49,65
50,64
51,70
52,58
53,585
54,591
55,1106
56,1112
57,208
58,220
59,546
60,552
61,234
62,963
63,977
64,787
65,1489
66,793
67,1462
68,778
69,1304
70,1310
71,1476
72,744
73,1338
74,750
75,988
76,817
77,803
78,195
79,181
80,1516
81,1270
82,1264
83,618
84,1502
85,630
86,156
87,1258
88,142
89,624
90,397
91,383
92,1099
93,368
94,1072
95,1066
96,354
97,432
98,426
99,340
100,430
101,356
102,1058
103,342
104,424
105,1070
106,1064
107,418
108,395
109,381
110,154
111,1528
112,632
113,626
114,140
115,168
116,1272
117,1514
118,1500
119,1266
120,197
121,829
122,183
123,1299
124,815
125,801
126,746
127,752
128,1448
129,1306
130,1460
131,1474
132,1312
133,785
134,791
135,949
136,961
137,975
138,544
139,99
140,222
141,1138
142,236
143,550
144,578
145,1104
146,1110
147,587
148,593
149,66
150,72
151,73
152,67
153,592
154,586
155,1111
156,579
157,1105
158,237
159,551
160,545
161,1139
162,223
163,98
164,974
165,960
166,948
167,790
168,784
169,1475
170,1313
171,1307
172,1461
173,1449
174,753
175,747
176,800
177,814
178,1298
179,182
180,196
181,828
182,1501
183,1267
184,1273
185,169
186,1515
187,627
188,141
189,155
190,633
191,1529
192,380
193,394
194,1065
195,419
196,1071
197,343
198,1059
199,425
200,431
201,357
202,1075
203,409
204,1061
205,353
206,1049
207,435
208,421
209,347
210,390
211,384
212,1511
213,1277
214,1263
215,179
216,1505
217,637
218,151
219,145
220,623
221,1539
222,810
223,804
224,1288
225,192
226,186
227,838
228,1465
229,1303
230,1317
231,1471
232,1459
233,743
234,9
235,757
236,964
237,970
238,780
239,958
240,794
241,1101
242,569
243,1115
244,227
245,541
246,555
247,88
248,1129
249,233
250,63
251,77
252,582
253,596
254,597
255,583
256,76
257,62
258,554
259,232
260,1128
261,89
262,226
263,540
264,568
265,1114
266,1100
267,795
268,959
269,781
270,971
271,965
272,8
273,756
274,742
275,1458
276,1316
277,1470
278,1464
279,1302
280,187
281,839
282,193
283,1289
284,805
285,811
286,144
287,1538
288,622
289,636
290,150
291,178
292,1262
293,1504
294,1510
295,1276
296,385
297,391
298,420
299,346
300,1048
301,352
302,434
303,1060
304,1074
305,408
306,378
307,1062
308,1076
309,344
310,422
311,436
312,350
313,387
314,393
315,1089
316,1506
317,1260
318,1274
319,608
320,1512
321,620
322,146
323,1248
324,152
325,634
326,807
327,813
328,185
329,191
330,1472
331,768
332,1314
333,1300
334,1466
335,754
336,1328
337,998
338,740
339,973
340,967
341,797
342,1499
343,783
344,1116
345,1102
346,218
347,230
348,556
349,542
350,224
351,74
352,60
353,48
354,595
355,581
356,580
357,49
358,594
359,61
360,75
361,543
362,225
363,231
364,557
365,219
366,1103
367,1117
368,782
369,1498
370,796
371,966
372,972
373,741
374,999
375,755
376,1329
377,1301
378,1467
379,769
380,1473
381,1315
382,190
383,184
384,812
385,806
386,153
387,1249
388,635
389,621
390,147
391,1275
392,1513
393,609
394,1507
395,1261
396,1088
397,392
398,386
399,437
400,351
401,345
402,423
403,1077
404,1063
405,379
406,1038
407,322
408,444
409,450
410,336
411,1004
412,478
413,1010
414,487
415,493
416,646
417,120
418,134
419,1548
420,652
421,1206
422,108
423,1212
424,685
425,849
426,691
427,861
428,875
429,732
430,1428
431,726
432,1414
433,1372
434,1366
435,1400
436,929
437,1399
438,915
439,901
440,256
441,530
442,524
443,242
444,1158
445,1170
446,518
447,1164
448,295
449,281
450,12
451,13
452,280
453,294
454,519
455,1165
456,1171
457,525
458,1159
459,243
460,257
461,531
462,900
463,914
464,1398
465,928
466,1367
467,1401
468,1415
469,1373
470,727
471,1429
472,733
473,874
474,860
475,690
476,848
477,684
478,1213
479,109
480,1207
481,135
482,653
483,1549
484,647
485,121
486,492
487,486
488,1011
489,1005
490,479
491,451
492,337
493,323
494,1039
495,445
496,335
497,453
498,447
499,321
500,1013
501,309
502,1007
503,490
504,484
505,651
506,889
507,137
508,123
509,1239
510,645
511,1211
512,1205
513,679
514,692
515,686
516,876
517,862
518,725
519,1359
520,731
521,719
522,1403
523,1365
524,1371
525,1417
526,902
527,916
528,241
529,527
530,533
531,255
532,1167
533,269
534,1173
535,282
536,1198
537,39
538,296
539,11
540,10
541,297
542,38
543,1199
544,283
545,1172
546,268
547,1166
548,532
549,254
550,240
551,526
552,917
553,903
554,1370
555,1416
556,1402
557,718
558,1364
559,730
560,724
561,1358
562,863
563,877
564,687
565,693
566,1204
567,678
568,1210
569,1238
570,122
571,644
572,888
573,650
574,136
575,485
576,491
577,1006
578,308
579,1012
580,446
581,320
582,334
583,452
584,1016
585,318
586,1002
587,456
588,330
589,324
590,442
591,495
592,481
593,1214
594,668
595,1200
596,1228
597,132
598,654
599,640
600,898
601,126
602,873
603,867
604,697
605,683
606,1360
607,1406
608,1412
609,708
610,1374
611,720
612,734
613,1348
614,907
615,913
616,1162
617,278
618,1176
619,522
620,244
621,250
622,536
623,14
624,287
625,1189
626,293
627,28
628,29
629,292
630,1188
631,286
632,15
633,251
634,537
635,523
636,245
637,1177
638,279
639,1163
640,912
641,906
642,735
643,1349
644,721
645,709
646,1413
647,1375
648,1361
649,1407
650,682
651,696
652,866
653,872
654,899
655,641
656,127
657,133
658,1229
