index,doc_id
0,427
1,427
2,427
3,427
4,427
5,341
6,341
7,341
8,341
9,341
10,341
11,341
12,341
13,341
14,341
15,341
16,341
17,341
18,341
19,341
20,341
21,341
22,341
23,341
24,341
25,341
26,341
27,341
28,341
29,341
30,341
31,341
32,341
33,341
34,341
35,341
36,341
37,341
38,341
39,341
40,341
41,341
42,341
43,341
44,341
45,341
46,341
47,341
48,341
49,341
50,341
51,341
52,355
53,355
54,355
55,355
56,355
57,355
58,355
59,355
60,355
61,355
62,355
63,355
64,355
65,355
66,355
67,355
68,355
69,355
70,355
71,355
72,355
73,355
74,355
75,355
76,355
77,355
78,355
79,355
80,355
81,433
82,433
83,433
84,433
85,433
86,433
87,433
88,433
89,433
90,433
91,433
92,433
93,433
94,433
95,433
96,433
97,433
98,433
99,433
100,433
101,433
102,433
103,433
104,433
105,433
106,433
107,1067
108,1067
109,1067
110,1067
111,1067
112,1067
113,1067
114,1073
115,1073
116,1073
117,1073
118,1073
119,369
120,369
121,369
122,369
123,369
124,369
125,369
126,369
127,369
128,369
129,369
130,369
131,1098
132,1098
133,1098
134,1098
135,382
136,382
137,382
138,382
139,382
140,382
141,382
142,382
143,382
144,382
145,382
146,382
147,382
148,396
149,396
150,396
151,396
152,396
153,396
154,396
155,396
156,143
157,143
158,143
159,143
160,143
161,143
162,143
163,143
164,143
165,143
166,143
167,143
168,143
169,1259
170,1259
171,1259
172,1259
173,1259
174,1259
175,1259
176,625
177,625
178,625
179,625
180,625
181,625
182,631
183,631
184,631
185,631
186,631
187,631
188,631
189,631
190,631
191,631
192,631
193,631
194,631
195,631
196,631
197,631
198,631
199,157
200,157
201,157
202,157
203,157
204,157
205,157
206,157
207,157
208,157
209,157
210,157
211,157
212,157
213,157
214,157
215,157
216,157
217,157
218,157
219,157
220,157
221,157
222,157
223,157
224,157
225,157
226,157
227,157
228,157
229,157
230,157
231,157
232,157
233,157
234,157
235,157
236,157
237,157
238,157
239,157
240,157
241,1265
242,1265
243,1265
244,1265
245,1265
246,1265
247,1265
248,1265
249,1503
250,1503
251,1503
